realization_day,weekday,weekday2,avg_reservation_price,avg_da_price
2022-10-31,0,0,1.9208333333333334,110.25157352230185
2022-11-01,1,1,3.0733333333333337,84.31276242398198
2022-11-02,2,4,3.0733333333333337,78.44150467164822
2022-11-03,3,9,3.0733333333333337,99.35599721212766
2022-11-04,4,16,4.61,108.93749572054293
2022-11-05,5,25,4.61,99.06068117911298
2022-11-06,6,36,2.689166666666667,57.845814376681034
2022-11-07,0,0,2.689166666666667,105.97752890816582
2022-11-08,1,1,1.5366666666666668,110.04764734398361
2022-11-09,2,4,1.9208333333333334,110.20665101107495
2022-11-10,3,9,4.61,136.28305584644923
2022-11-11,4,16,2.88125,148.22880354557023
2022-11-12,5,25,2.689166666666667,155.61579735719542
2022-11-13,6,36,2.689166666666667,120.8970445811534
2022-11-14,0,0,1.3445833333333335,165.50100361948338
2022-11-15,1,1,0.0,172.41680511571712
2022-11-16,2,4,0.0,166.94492558201432
2022-11-17,3,9,0.0,110.51357388693627
2022-11-18,4,16,0.0,149.54808165837292
2022-11-19,5,25,0.0,194.2643170428281
2022-11-20,6,36,0.0,183.92851165058096
2022-11-21,0,0,0.0,221.1966073365029
2022-11-22,1,1,0.0,205.32249186042938
2022-11-23,2,4,0.0,205.74162956432244
2022-11-24,3,9,0.0,215.34979292562056
2022-11-25,4,16,0.0,255.13023238379503
2022-11-26,5,25,2.5229166666666667,233.1116049351468
2022-11-27,6,36,2.5229166666666667,178.68466919846915
2022-11-28,0,0,2.5229166666666667,274.9388389294475
2022-11-29,1,1,2.6306249999999998,320.9522326634887
2022-11-30,2,4,2.4970833333333338,377.46483322627563
2022-12-01,3,9,4.5,389.58218544217067
2022-12-02,4,16,0.0,375.08447319527755
2022-12-03,5,25,0.0,274.9458234508069
2022-12-04,6,36,0.0,236.273615919672
2022-12-05,0,0,0.0,344.58916957863016
2022-12-06,1,1,0.0,367.4420346987167
2022-12-07,2,4,0.0,323.53484698703465
2022-12-08,3,9,0.0,388.5601566163957
2022-12-09,4,16,0.0,422.1616640564377
2022-12-10,5,25,0.0,375.8211976656747
2022-12-11,6,36,0.0,329.6415626137983
2022-12-12,0,0,1.15125,446.856999136144
2022-12-13,1,1,0.0,442.50406010691086
